"uuid";"code";"title";"description";"active"
"000fca67-8e22-42ff-bd03-51a519647039";"15.21.03";"Bistand til særlige aktiviteter";"Emnet dækker sager om bistand til særlige aktiviteter.";1
"0017a1ae-4bd0-4378-b62f-cc3af28a66fa";"54.30.04";"Pædagogisk råd, gymnasier";"Ingen beskrivelse";1
"003220c1-61eb-11ea-8984-0050c2490048";"04.14.30";"Trætophytter";"Emnet dækker sager om ansøgning og tilladelse til etablering af trætophytter.

Henvisning til andre relevante emner:


    
        Sager om lokalplaner i forbindelse med trætophytter, journaliseres under emnenr. 01.02.05";1
"00326c8f-9bce-4546-847b-8c80115cf33b";"81.27.01";"Ferier, personale";"Ingen beskrivelse";1
"0046b481-c51d-4fbf-b843-9396303b8fe6";"01.13.23";"Skovrejsning";"Emnet dækker sager om skovrejsning. Fx sager om:


    
        Anmeldelse om skovrejsning og skovetablering til kommunalbestyrelsen
        Dispensation til skovrejsning – tilføjes facet P25. Hvis landbrugsjorden er beliggende i et område, hvor skovtilplantning er uønsket ifølge regionplanen, kan kommunen i særlige tilfælde give dispensation til skovrejsning.
        
    


Drift af kommunens skove, herunder nyanlæg journaliseres i gruppe 04.10.";1
"0059bd11-f9da-11eb-8189-0050c2490048";"32.36.10";"Hjemrejsebistand";"Emnet dækker bl.a. sager om:


    
        Hjemrejsebistand
        Udbetaling Danmark forestår udbetalingen";1
"00756f75-638c-4152-95bb-e62bed6ee044";"15.01.12";"Arbejdsfordeling, supplerende dagpenge";"Emnet dækker bl.a. sager om arbejdsfordeling, fx:


    
        virksomheders anmeldelse af arbejdsfordelingen til kommunen
        virksomheders ansøgninger om arbejdsfordelingen ved arbejdsfordeling over 13 uger";1
"0091be96-ba5c-4ab2-879c-4d3f8fe737dd";"03.10.20";"Boligorganisationers bestyrelse";"Emnet er til sager, hvor kommunalbestyrelsen udpeger en kommunal repræsentant i en boligforening.
        Der er ikke tale om en valghandling, hvorfor sagen journaliseres med handlingsfacetten A30.
        Drejer sagen sig derimod om hvem der er valgt til boligforeningens bestyrelse, bruges i stedet facet A08.";1
"0094fe90-5674-46b8-bf58-e698adbd4497";"01.01.01";"Landsplanlægning";"Ingen beskrivelse";1
"0095665f-3685-498b-8ba7-2339d05a5bda";"85.15.02";"It-og cybersikkerhed og sikkerhedsforanstaltninger";"Emnet dækker bl.a. sager om:


    
        Sikkerhedsforanstaltninger ift. it-systemer, herunder foranstaltninger som led i NIS2
        Sikkerhedskontrol ift. it-systemer
        Regulativer, sikkerhedsregler og politikker vedr. it-sikkerhed
        Tilslutning til Center for Cybersikkerheds netsikkerhedstjeneste
        Underretning af relevante myndigheder om it-sikkerhedshændelser
        
    


Henvisning til relevante facetter:


    
        Sager om procedurer vedr. it-sikkerhed, herunder NIS2, tilføjes facet A26
        Sager om politikker for it-sikkerhed, herunder NIS2, tilføjes facet P22
        
    


Henvisning til andre emner:


    
        Sager om it-kriminalitet, se emnenr. 85.15.05
        Sager om it-driftssikkerhed, se emnenr. 85.15.04";1
"00c53dde-70a5-44f9-8868-382ef9c7b8a8";"13.07.01";"Beboelseslejligheder, udleje";"Emnet dækker sager om udlejning af kommunens beboelseslejligheder efter kommunalfuldmagten.
        Udlejning af boliger til flygtninge efter integrationsloven, se emnenr. 03.25.15";1
"00c62c89-1d5b-43a8-be4e-e21b39b0d9bd";"83.12.01";"Anskaffelse af flydende materiel";"Ingen beskrivelse";1
"00d26521-1008-4b18-976e-f63d30660319";"27.69.24";"Oplysningspligt, samtykke m.v., retssikkerhed";"Emnet dækker bl.a. sager om:


    
        Kommunens oplysningspligt efter §§ 10-14 i retssikkerhedsloven.
        Samtykke til indhentning af personoplysninger.
        Samtykke til videregivelse af personoplysninger.
        Indhentning og videregivelse af oplysninger, udlændinge.
        
    


Ofte vil et samtykke til indhentning af oplysninger ligge som en del af en konkret sag, fx ydelsessag. Det er således et valg om der oprettes selvstændig sag angående samtykke.";1
"01000081-ed0a-4daf-831f-b4beab83669f";"05.14.10";"Kunst - genstande på vejareal";"Ingen beskrivelse";1
"010a9e76-aed2-4e01-8d71-3408d3e1aea1";"21.01.16";"Fornyelse af udlån - biblioteker";"Emnet dækker bl.a. sager vedrørende retningslinjer for fornyelse af allerede udlånte bøger.
        Fx i hvilket omfang kan det lade sig gøre, hvor længe kan lånes igen osv.";1
"01303116-b6e1-4a90-a9d7-28f81311604a";"87.01.00";"Arbejdsmiljøorganisation i almindelighed";"Ingen beskrivelse";1
"0146dd64-3c07-446e-ab69-788ae3984720";"06.01.05";"Private spildevandsanlæg";"Der er oprettet en række nye emner (feb 2017) i gruppe 06.01 til myndighedsopgaverne ifm. private spildevandsanlæg, herunder opgaver der har ligget under dette emne. 
        06.01.05 opretholdes foreløbigt af hensyn til eksisterende sager.";1
"01ba31b6-3921-4005-bce3-2cc3f9a6a8fd";"83.04";"Produktionsanlæg";"Ingen beskrivelse";1
"01d27bf8-d5f9-44f7-913e-a4b6d3e00481";"09.08.07";"Værditabsordning for boligejere mv., jordforurening";"Emnet dækker sager vedr. værditabsordning for boligejere vedjordforurening. Fx sager om:


    
        Regionsrådets underretning af kommunalbestyrelsen i forbindelse med afgørelse om ejendommen er omfattet af værditabsordningen
        Regionsrådets overdragelse af ejendomme til kommunalbestyrelsen i forbindelse med værditabsordningen";1
"01d7e04e-06c8-4d53-b1c5-305f4db039f5";"20.15.00";"Festivaler og events mv. i almindelighed";"Emnet dækker bl.a. sager om arrangementer i forbindelse med festivaler, festuger, byfester, markeder mv.
        
    


Henvisning til andre relevante emner:


    
        Tilladelser til råden over vejareal i forbindelse med private eller delvist private udendørsarrangementer, events, markeder, o.lign. se 05.14.05";1
"0208fee6-21e9-46e1-9a1e-04df15b08578";"29.30.12";"Overenskomster m.v. - samarbejde på sundhedsområdet";"Ingen beskrivelse";1
"0220e032-22b0-47cc-8578-014387a06d90";"88.12.20";"Udbud af projektkonkurrence";"Ingen beskrivelse";1
"0223c8ac-2db7-49f0-8407-6ee2415b246f";"08.10";"Sikring af havnefaciliteter";"Ingen beskrivelse";1
"0279fc51-bd39-11eb-8f8d-0050c2490048";"09.17.58";"Undtagelse fra krav i husdyrbrugloven 16a-b";"Emnet dækker bl.a. sager om:


    
        undtagelse af husdyrbrug fra krav om godkendelse og tilladelse, jf. husdyrgodkendelsesbekendtgørelsen § 7
        anmeldelse af husdyrbrug, som er undtaget fra krav om godkendelse og tilladelse
        konkrete sager om anmeldelser tilføjes facet G01";1
