"uuid";"code";"title";"description";"active"
"02bf0cb5-f17c-484c-aec7-d4fbca54a03f";"Ø07";"Afskrivninger";"Med afskrivninger menes såvel afskrivninger på kommunale driftsmidler, som køretøjer, materiel o.l., samt afskrivninger af uerholdelige beløb.";1
"033ba65f-5b9b-4f69-9b1d-ef4d3e832d0a";"Ø50";"Økonomiske udlån";"Sager om kommunale økonomiske udlån journaliseres med handlingsfacet Ø50. Der kan eksempelvis være tale om borgere, der i henhold til lovgivningen kan låne til beboerindskud og ejendomsskatter. Facetten anvendes også, når de kommunale institutioner låner af  ""kommunekassen"". Tinglysning i forbindelse med lån til betaling af ejendomsskatter journaliseres ligeledes med handlingsfacet Ø50.

Ikke-økonomiske udlån, dvs. udlån uden betaling, journaliseres med handlingsfacet G07.";1
"05af4416-f610-4360-98a8-d62bdcc62321";"G10";"Salg af ejendom, tjenesteydelser, varer mv.";"G10 anvendes til sager, hvor kommunen sælger varer, tjenesteydelser, ejendom mv.

Fx salg af


    
        kommunal ejendom / grunde
         knowhow
        overskudsproduktion";1
"0bd70476-7f6d-4e54-b884-bf2b761f3fbc";"Ø60";"Garantier (kommunegarantistillelse)";"Ø60 anvendes til sager, hvor det er kommunen, der stiller en garanti. Dette kan ske i forbindelse med opførelse og drift af almene boliger eller eksempelvis i forhold til naturgasselskaber. Endelig kan kommunen stille garantier i forbindelse med forskellige kulturelle arrangementer arrangeret af foreninger, underskudsgaranti for flaske- og avisindsamlinger o.l.";1
"0c9c2bef-3b24-45bc-ac6e-2b1228d6706e";"P28";"Kendelser";"Kendelser, der udstedes i sager, hvor kommunen er part, journaliseres med handlingsfacet P28. Der kan eksempelvis være tale om kendelser i vandløbsspørgsmål og personaleforhold. Kendelser i sager, hvor kommunen ikke er part, men kan have en interesse i at kende kendelsen, journaliseres under I-handlingsfacetterne, såfremt kommunen ønsker at journalisere materialet.

Desuden anvendes handlingsfacetten til sager hvor kommunen lægger sag an mod en borger eller anden juridisk enhed, hvor kommunen således er part.";1
"128cbb76-05b0-4120-a4a6-86033239b7b6";"P17";"Andre myndigheders planer og planforslag, som kommunen behandler";"P17 facetten dækker sager om planforslag og planer fra andre myndigheder. Med myndigheder tænkes på diverse ministerier, styrelser og regioner. Som eksempler kan nævnes regional udviklingsstrategi, plan for beskyttelse af grundvand, ambulanceberedskab, postbetjening, stationsbetjening, kasernenedlæggelser, placering af statsinstitutioner osv. Forudsætningen for oprettelse af en P17-sag er, at kommunen skal sagsbehandle/udtale sig om den pågældende plan. Fremsendes andre myndigheders planer til orientering for kommunen, uden der skal ske en egentlig sagsbehandling, anvendes facet I02, såfremt kommunen vil journalisere materialet. P17 bruges ofte i forbindelse med hovedgruppe 30.";1
"163cbc7d-879d-42de-a2ec-79f4c27b90b6";"S29";"Fastsættelse og afregning af afgifter (takster, bidrag o.l.) for ydelser";"S29 dækker populært sagt fastsættelsen af kommunal ""egenbetaling"" i de tilfælde, hvor kommunen kan eller skal opkræve en betaling/afgift, fx sager om:


    
        fastsættelse af forældrebetaling til daginstitutioner/klubber
        renovationsafgifter
        vandafledningsafgifter
        betaling for fotokopier til foreninger
        betaling for ældres servicepakke
        betaling for kommunal forsyningsvirksomhed
        
    


Takster o.l. fra andre, som kommunen skal godkende, journaliseres med handlingsfacet S55.";1
"19bb80f2-d7cc-4f6c-aa08-809e35710a2f";"P21";"Regler og principielle afgørelser";"P21-sagerne indeholder regler, principper mv., der kan anvendes ved efterfølgende sagsafgørelser. 
Dette betyder, at træffer eksempelvis et politisk udvalg en principbeslutning om, at man konsekvent vil sige nej til bestemte typer af ansøgninger, vil den sag, der har dannet grundlag for principbeslutningen, få handlingsfacet P21. 
Alle efterfølgende ansøgninger vil få handlingsfacet G01, hvor kommunen med udgangspunkt i den principielle P21-sag afgør sagen administrativt og besvarer ansøgninger med ja eller nej. Hver gang der modtages en lignende ansøgning, kan kommunen således i P21-sagen se, hvilke principper der er fastlagt for det pågældende område.

P21 anvendes desuden til egentlige regler og bestemmelser, eksempelvis om åbningstid og optagelseskrav på institutioner.

Endvidere bruges handlingsfacetten til fastlæggelse af kommunale forskrifter vedr. forhold for borgere eller virksomheder, fx vedr. indretning af drift af andre virksomheder end listevirksomheder.";1
"19c94422-d7b1-42a0-a438-e5a030bf768e";"Ø";"Økonomi efter fastlagte rammer";"Ø kategorien dækker sager om økonomi efter fastlagte rammer, enten indenfor lovgivningen, af økonomiudvalget eller kommunalbestyrelsen. Til sager om overordnet økonomi behandlet af økonomiudvalget anvendes S facetterne. Bemærk at mange sager om økonomi fremover placeres under emneplanens GR 00.30 til 00.36";1
"1a75831b-4efa-485a-93dc-e6942f3cc062";"P05";"Egne statistikker, undersøgelser, analyser";"P05 anvendes ved alle former for statistikker, undersøgelser o.l., som kommunen/institutionen igangsætter, fx:


    
        trafiktællinger
        ledelsesinformation, (tværgående, se emnenr. 00.15.20)
        børnemiljøvurderinger
        diverse personalestatistikker
        borger-/brugerundersøgelser
        dataindsamlinger til internt brug
        brugerevaluering
        
    


Facetten kombineres med det emne undersøgelsen vedrører.";1
